[Disease]
OMIM:101000	NF2
OMIM:265000	CHRNG
HP:0002650	1.0	   
HP:0001836	1.0	   
HP:0006446	1.0	   
HP:0005617	1.0	   
HP:0000508	0.8181	   
HP:0000494	0.8181	   
HP:0008729	0.8	   
HP:0002643	0.7272	   
HP:0001762	0.7272	   
HP:0002714	0.7272	   
HP:0002808	0.7	   
HP:0000028	0.6666	   
HP:0009759	0.6363	   
HP:0009756	0.5454	   
HP:0000286	0.5454	   
HP:0000160	0.5	   
HP:0000343	0.4545	   
HP:0003083	0.4285	   
HP:0001060	0.3636	   
HP:0002949	0.3	   
HP:0009761	0.3	   
HP:0009760	0.2727	   
HP:0000405	0.2727	   
HP:0000902	0.2222	   
HP:0009757	0.1818	   
HP:0000175	0.1818	   
[Disease]
OMIM:270400	DHCR7
HP:0004691	0.99	   
HP:0001249	0.9512	   
HP:0000252	0.8414	   
HP:0001508	0.8170	   
HP:0000463	0.75	   
HP:0000508	0.7012	   
HP:0000343	0.5	   
HP:0002079	0.5	   
HP:0000047	0.5	   
HP:0007165	0.5	   
HP:0000187	0.5	   
HP:0001830	0.4817	   
HP:0001162	0.4817	   
HP:0000175	0.4695	   
HP:0000104	0.33	   
HP:0000518	0.2195	   
HP:0001631	0.2	   
HP:0001643	0.18	   
HP:0002021	0.1402	   
HP:0001629	0.1	   
HP:0000316	0.075	   
HP:0000286	0.075	   
[Disease]
OMIM:303600	RPS6KA3
HP:0001249	1.0	   
HP:0001169	1.0	   
HP:0001182	1.0	   
HP:0000445	1.0	   
HP:0009746	1.0	   
HP:0000316	1.0	   
HP:0000506	1.0	   
HP:0000280	1.0	   
HP:0006129	0.96	   
HP:0000954	0.9411	   
HP:0000494	0.8518	   
HP:0000767	0.8	   
HP:0000768	0.8	   
HP:0002750	0.7894	   
HP:0002684	0.6363	   
HP:0001250	0.4705	   
[Disease]
OMIM:305400	FGD1
HP:0000316	0.89	   
HP:0000289	0.8461	   
HP:0009748	0.8252	   
HP:0001174	0.8181	   
HP:0001156	0.8181	   
HP:0002055	0.8080	   
HP:0000327	0.8076	   
HP:0000463	0.7924	   
HP:0000049	0.7708	   
HP:0000349	0.7647	   
HP:0006158	0.7540	   
HP:0000954	0.6909	   
HP:0000431	0.6666	   
HP:0001544	0.6666	   
HP:0000028	0.6382	   
HP:0000023	0.6170	   
HP:0000494	0.5308	   
HP:0000508	0.5061	   
HP:0000767	0.4594	   
[Disease]
OMIM:305450	MED12
HP:0001249	0.97	   
HP:0002236	0.91	   
HP:0001270	0.9	   
HP:0000494	0.85	   
HP:0000316	0.83	   
HP:0005833	0.81	   
HP:0000260	0.77	   
HP:0005490	0.74	   
HP:0001250	0.7	   
HP:0002019	0.69	   
HP:0000954	0.6	   
HP:0000286	0.56	   
HP:0001159	0.54	   
HP:0000486	0.52	   
HP:0000179	0.44	   
HP:0002025	0.38	   
HP:0001150	0.38	   
HP:0001545	0.38	   
HP:0000028	0.36	   
HP:0000960	0.25	   
HP:0002828	0.25	   
HP:0009762	0.25	   
HP:0008070	0.25	   
HP:0002213	0.25	   
HP:0001620	0.075
HP:0001171	0.075
HP:0000470	0.075 
HP:0000175	0.075
HP:0002021	0.075
HP:0000453	0.075
HP:0000047	0.075
