DatabaseID	HPO_ID
OMIM:615273	HP:0002650
OMIM:615273	HP:0001250
OMIM:615273	HP:0001773
OMIM:615273	HP:0000954
OMIM:615273	HP:0000486
OMIM:615273	HP:0000297
OMIM:615273	HP:0004325
OMIM:615273	HP:0000275
OMIM:615273	HP:0009938
OMIM:615273	HP:0000463
OMIM:615273	HP:0000248
OMIM:615273	HP:0001263
OMIM:615273	HP:0001250
OMIM:615273	HP:0002072
OMIM:615273	HP:0002345
OMIM:615273	HP:0001310
OMIM:615273	HP:0012708
OMIM:615273	HP:0030980
OMIM:615273	HP:0012706
OMIM:615273	HP:0025460
OMIM:615273	HP:0030906
OMIM:615273	HP:0031146
OMIM:615273	HP:0010536
OMIM:618143	HP:0001251
OMIM:618143	HP:0001640
OMIM:618143	HP:0001272
OMIM:618143	HP:0002120
OMIM:618143	HP:0100704
OMIM:618143	HP:0000280
OMIM:618143	HP:0002019
OMIM:618143	HP:0000028
OMIM:618143	HP:0000476
OMIM:618143	HP:0002002
OMIM:618143	HP:0003155
OMIM:618143	HP:0011968
OMIM:618143	HP:0001989
OMIM:618143	HP:0001288
OMIM:618143	HP:0001290
OMIM:618143	HP:0000212
OMIM:618143	HP:0001263
OMIM:618143	HP:0002240
OMIM:618143	HP:0002553
OMIM:618143	HP:0000023
OMIM:618143	HP:0001388
OMIM:618143	HP:0003282
OMIM:618143	HP:0000158
OMIM:618143	HP:0000252
OMIM:618143	HP:0002828
OMIM:618143	HP:0000639
OMIM:618143	HP:0000768
OMIM:618143	HP:0000384
OMIM:618143	HP:0002650
OMIM:618143	HP:0001250
OMIM:618143	HP:0010044
OMIM:618143	HP:0000331
OMIM:618143	HP:0000391
OMIM:618143	HP:0011221
OMIM:618143	HP:0000687
OMIM:618143	HP:0001156
OMIM:618143	HP:0004209
OMIM:618143	HP:0011927
OMIM:618143	HP:0004689
OMIM:611762	HP:0000006
OMIM:611762	HP:0002829
OMIM:611762	HP:0003326
OMIM:611762	HP:0000407
OMIM:611762	HP:0011227
OMIM:611762	HP:0002027
OMIM:611762	HP:0001954
OMIM:600996	HP:0011663
OMIM:223370	HP:0000347
OMIM:223370	HP:0000581
OMIM:223370	HP:0001249
OMIM:223370	HP:0008897
OMIM:608681	HP:0000902
OMIM:613865	HP:0000007
OMIM:613865	HP:0000407
OMIM:614882	HP:0000286
OMIM:606744	HP:0000007
OMIM:606744	HP:0011342
OMIM:606744	HP:0001510
OMIM:606744	HP:0000252
OMIM:606744	HP:0000341
OMIM:606744	HP:0000340
OMIM:606744	HP:0000448
OMIM:606744	HP:0007429
OMIM:606744	HP:0004209
OMIM:606744	HP:0001321
OMIM:606744	HP:0000047
OMIM:606744	HP:0001620
OMIM:251255	HP:0000007
OMIM:251255	HP:0011451
OMIM:251255	HP:0001249
OMIM:251255	HP:0000448
OMIM:251255	HP:0000448
OMIM:251255	HP:0001263
OMIM:300968	HP:0002536
OMIM:300968	HP:0002023
OMIM:300968	HP:0000193
OMIM:300968	HP:0001321
OMIM:300968	HP:0000453
OMIM:300968	HP:0000175
OMIM:300968	HP:0001305
OMIM:300968	HP:0001263
OMIM:300968	HP:0000365
OMIM:300968	HP:0001385
OMIM:300968	HP:0000998
OMIM:300968	HP:0002079
OMIM:300968	HP:0000601
OMIM:300968	HP:0001249
OMIM:300968	HP:0100559
OMIM:300968	HP:0100259
OMIM:300968	HP:0000960
OMIM:300968	HP:0002650
OMIM:300968	HP:0001250
OMIM:300968	HP:0004322
OMIM:300968	HP:0012813
OMIM:300968	HP:0002119
OMIM:300968	HP:0001423
OMIM:300968	HP:0001290
OMIM:300968	HP:0002205
OMIM:300968	HP:0001249
OMIM:300968	HP:0002926
OMIM:611554	HP:0000006
OMIM:611554	HP:0004322
OMIM:611554	HP:0000268
OMIM:611554	HP:0000494
OMIM:611554	HP:0000316
OMIM:611554	HP:0000286
OMIM:611554	HP:0005280
OMIM:611554	HP:0000179
OMIM:611554	HP:0000369
OMIM:611554	HP:0000303
OMIM:611554	HP:0001639
OMIM:611554	HP:0000957
OMIM:611554	HP:0001003
OMIM:611554	HP:0000465
OMIM:611554	HP:0000470
OMIM:611554	HP:0002967
OMIM:611554	HP:0000766
OMIM:611554	HP:0000958
OMIM:611554	HP:0002212
OMIM:607554	HP:0005110
OMIM:607554	HP:0000006
OMIM:607554	HP:0001727
OMIM:613079	HP:0000007
OMIM:613079	HP:0008619
OMIM:613079	HP:0000360
OMIM:613079	HP:0001751
OMIM:149730	HP:0011065
OMIM:149730	HP:0002984
OMIM:149730	HP:0003022
OMIM:149730	HP:0100583
OMIM:149730	HP:0000378
OMIM:149730	HP:0001092
OMIM:149730	HP:0007732
OMIM:149730	HP:0007656
OMIM:149730	HP:0007900
OMIM:609621	HP:0012232
OMIM:609621	HP:0005110
OMIM:609621	HP:0001279
OMIM:609621	HP:0001645
OMIM:609621	HP:0000006
OMIM:612301	HP:0000007
OMIM:612301	HP:0011002
OMIM:612301	HP:0006532
OMIM:612301	HP:0000639
OMIM:612301	HP:0000529
OMIM:612301	HP:0001903
OMIM:612301	HP:0007807
OMIM:612301	HP:0001263
OMIM:612301	HP:0100671
OMIM:610198	HP:0002470
OMIM:610198	HP:0001644
OMIM:610198	HP:0004856
OMIM:610198	HP:0008734
OMIM:610198	HP:0001511
OMIM:610198	HP:0008897
OMIM:615970	HP:0000006
OMIM:615970	HP:0006254
OMIM:608611	HP:0410057
OMIM:608611	HP:0410058
OMIM:608611	HP:0410059
OMIM:608611	HP:0410070
OMIM:608611	HP:0410071
OMIM:608611	HP:0025550
OMIM:608611	HP:0410072
OMIM:608611	HP:0410073
OMIM:608611	HP:0410074
OMIM:608611	HP:0410075
OMIM:615009	HP:0000006
OMIM:615009	HP:0001249
OMIM:615009	HP:0001195
OMIM:615009	HP:0001250
OMIM:615009	HP:0002580
OMIM:615009	HP:0001263
OMIM:615009	HP:0011098
OMIM:615009	HP:0000294
OMIM:615009	HP:0000316
OMIM:615009	HP:0000494
OMIM:615009	HP:0000664
OMIM:615009	HP:0002553
OMIM:615009	HP:0000527
OMIM:615009	HP:0000414
OMIM:615009	HP:0000319
OMIM:615009	HP:0000400
OMIM:615009	HP:0000369
OMIM:615009	HP:0006610
OMIM:615009	HP:0001763
OMIM:615009	HP:0002389
OMIM:615009	HP:0000028
OMIM:616648	HP:0000006
OMIM:616648	HP:0000407
OMIM:616648	HP:0000648
OMIM:616648	HP:0000505
OMIM:616648	HP:0000603
OMIM:616648	HP:0001634
OMIM:616648	HP:0030455
OMIM:616648	HP:0007104
OMIM:612955	HP:0005184
OMIM:612955	HP:0001279
OMIM:612955	HP:0000006
OMIM:612955	HP:0001664
OMIM:147430	HP:0007021
OMIM:147430	HP:0006901
OMIM:147430	HP:0008000
OMIM:147430	HP:0000559
OMIM:147430	HP:0000632
OMIM:147430	HP:0000966
OMIM:147430	HP:0001954
OMIM:147430	HP:0002315
OMIM:147430	HP:0002661
OMIM:164400	HP:0001284
OMIM:164400	HP:0100543
OMIM:164400	HP:0007078
OMIM:164400	HP:0003581
OMIM:164400	HP:0002071
OMIM:164400	HP:0002503
OMIM:164400	HP:0003431
OMIM:164400	HP:0003448
OMIM:617213	HP:0000007
OMIM:617213	HP:0025157
OMIM:601450	HP:0000316
OMIM:601450	HP:0001388
OMIM:601450	HP:0003502
OMIM:614037	HP:0000007
OMIM:614037	HP:0001252
OMIM:614037	HP:0001263
OMIM:614037	HP:0001531
OMIM:614037	HP:0000252
OMIM:614037	HP:0001522
OMIM:614037	HP:0030390
OMIM:609628	HP:0000007
OMIM:609628	HP:0001371
OMIM:609628	HP:0011123
OMIM:609628	HP:0001510
OMIM:609628	HP:0002754
OMIM:609628	HP:0002653
OMIM:609628	HP:0002829
OMIM:609628	HP:0001954
OMIM:609628	HP:0001935
OMIM:609628	HP:0010972
OMIM:130600	HP:0000006
OMIM:130600	HP:0004445
OMIM:130600	HP:0001878
OMIM:130600	HP:0003265
OMIM:130600	HP:0001923
OMIM:616818	HP:0000006
OMIM:616818	HP:0003774
OMIM:616818	HP:0012574
OMIM:616818	HP:0000794
OMIM:616818	HP:0000822
OMIM:616818	HP:0000093
OMIM:616818	HP:0000790
OMIM:616818	HP:0011462
OMIM:618112	HP:0000007
OMIM:618112	HP:0012869
OMIM:618112	HP:0003251
OMIM:618112	HP:0012869
OMIM:618112	HP:0003251
OMIM:611638	HP:0000006
OMIM:611638	HP:0000612
OMIM:611638	HP:0003829
OMIM:611638	HP:0000568
OMIM:611638	HP:0003828
OMIM:611638	HP:0001360
OMIM:611638	HP:0000202
OMIM:611638	HP:0000504
OMIM:611638	HP:0000528
OMIM:611638	HP:0000567
OMIM:300100	HP:0000802
OMIM:300100	HP:0008207
OMIM:300100	HP:0001419
OMIM:300100	HP:0007340
OMIM:300100	HP:0006938
OMIM:615688	HP:0002240
OMIM:615688	HP:0001744
OMIM:615688	HP:0001903
OMIM:615688	HP:0001894
OMIM:615688	HP:0001882
OMIM:615688	HP:0000007
OMIM:615688	HP:0002910
OMIM:615688	HP:0000965
OMIM:615688	HP:0002027
OMIM:615688	HP:0030880
OMIM:615688	HP:0001297
OMIM:615688	HP:0030351
OMIM:615688	HP:0002040
OMIM:615688	HP:0001876
OMIM:615688	HP:0001409
OMIM:300534	HP:0004322
OMIM:300534	HP:0000252
OMIM:300534	HP:0000218
OMIM:300534	HP:0008734
OMIM:300534	HP:0001250
OMIM:300534	HP:0000718
OMIM:611182	HP:0002119
OMIM:611182	HP:0012301
OMIM:611182	HP:0001762
OMIM:611182	HP:0002133
OMIM:611182	HP:0001250
OMIM:611182	HP:0002650
OMIM:611182	HP:0000347
OMIM:611182	HP:0000252
OMIM:611182	HP:0032220
OMIM:611182	HP:0001249
OMIM:611182	HP:0001249
OMIM:611182	HP:0008947
OMIM:611182	HP:0001263
OMIM:611182	HP:0040019
OMIM:611182	HP:0001531
OMIM:611182	HP:0000565
OMIM:611182	HP:0008150
OMIM:611182	HP:0003236
OMIM:611182	HP:0031956
OMIM:611182	HP:0005280
OMIM:611182	HP:0001272
OMIM:611182	HP:0010665
OMIM:611182	HP:0000007
OMIM:611182	HP:0001251
OMIM:611182	HP:0001137
OMIM:611182	HP:0001272
OMIM:611182	HP:0008115
OMIM:611182	HP:0011918
OMIM:611182	HP:0000286
OMIM:611182	HP:0008947
OMIM:611182	HP:0002119
OMIM:611182	HP:0025045
OMIM:611182	HP:0001344
OMIM:233700	HP:0100523
OMIM:192430	HP:0000175
OMIM:192430	HP:0002901
OMIM:192430	HP:0005435
OMIM:192430	HP:0000023
OMIM:192430	HP:0001249
OMIM:192430	HP:0001252
OMIM:192430	HP:0004322
OMIM:192430	HP:0001636
OMIM:192430	HP:0001537
OMIM:192430	HP:0000220
OMIM:192430	HP:0001629
OMIM:192430	HP:0000176
OMIM:192430	HP:0011611
OMIM:192430	HP:0011590
OMIM:192430	HP:0004935
OMIM:192430	HP:0001883
OMIM:192430	HP:0000829
OMIM:163950	HP:0000347
OMIM:163950	HP:0000407
OMIM:163950	HP:0009466
OMIM:163950	HP:0008897
OMIM:163950	HP:0000325
OMIM:163950	HP:0001249
OMIM:616910	HP:0000007
OMIM:616910	HP:0000252
OMIM:616910	HP:0001263
OMIM:616910	HP:0003175
OMIM:616910	HP:0003196
OMIM:616910	HP:0010442
OMIM:616910	HP:0012368
OMIM:616910	HP:0000028
OMIM:616910	HP:0000369
OMIM:616910	HP:0000405
OMIM:616910	HP:0000316
OMIM:616910	HP:0000047
OMIM:616910	HP:0000486
OMIM:616910	HP:0001511
OMIM:611721	HP:0002529
OMIM:611721	HP:0004343
OMIM:611721	HP:0002487
OMIM:611721	HP:0007305
OMIM:611721	HP:0002240
OMIM:611721	HP:0001744
OMIM:611721	HP:0003577
OMIM:611721	HP:0001522
OMIM:611721	HP:0002079
OMIM:611721	HP:0000007
OMIM:611721	HP:0011169
OMIM:611721	HP:0002380
OMIM:611721	HP:0003487
OMIM:611721	HP:0002518
OMIM:300373	HP:0001423
OMIM:609923	HP:0000006
OMIM:609923	HP:0007722
OMIM:609923	HP:0007843
OMIM:609923	HP:0001123
OMIM:609923	HP:0000512
OMIM:257220	HP:0001251
OMIM:257220	HP:0000007
OMIM:257220	HP:0001263
OMIM:257220	HP:0002240
OMIM:257220	HP:0003349
OMIM:257220	HP:0001250
OMIM:257220	HP:0001744
OMIM:175100	HP:0000006
OMIM:175100	HP:0000670
OMIM:175100	HP:0011069
OMIM:175100	HP:0000706
